index,true_label,predicted_label
0,0,2
1,0,0
2,0,0
3,0,2
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,4
19,0,0
20,0,0
21,0,1
22,0,2
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,4
36,0,2
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,2
44,0,1
45,0,0
46,0,0
47,0,0
48,0,5
49,0,0
50,0,2
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,2,2
108,2,2
109,2,2
110,2,2
111,2,2
112,2,2
113,2,2
114,2,2
115,2,2
116,2,2
117,2,2
118,2,2
119,2,2
120,2,2
121,2,2
122,2,2
123,2,2
124,2,2
125,2,2
126,2,2
127,2,2
128,2,2
129,2,2
130,2,2
131,2,2
132,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,2,2
138,2,2
139,2,2
140,2,2
141,2,2
142,2,2
143,2,2
144,2,2
145,2,2
146,2,2
147,2,2
148,2,2
149,2,2
150,2,2
151,2,2
152,2,2
153,3,3
154,3,2
155,3,3
156,3,5
157,3,3
158,3,3
159,3,3
160,3,3
161,3,2
162,3,2
163,3,3
164,3,2
165,3,3
166,3,2
167,3,3
168,3,3
169,3,2
170,3,3
171,3,4
172,3,3
173,4,2
174,4,4
175,4,4
176,4,2
177,4,4
178,4,4
179,4,4
180,4,4
181,4,4
182,4,0
183,4,4
184,4,2
185,4,4
186,4,4
187,4,4
188,4,4
189,4,2
190,4,4
191,4,2
192,4,4
193,4,4
194,4,4
195,4,4
196,4,4
197,4,4
198,4,4
199,4,4
200,4,4
201,4,4
202,4,4
203,4,4
204,4,5
205,4,4
206,4,3
207,4,4
208,4,5
209,4,4
210,4,4
211,4,4
212,4,4
213,4,4
214,4,4
215,4,1
216,4,0
217,5,4
218,5,4
219,5,5
220,5,5
221,5,4
222,5,5
223,5,5
224,5,5
225,5,4
226,5,5
227,5,4
228,5,5
229,5,5
230,5,5
231,5,5
232,5,4
233,5,4
234,5,5
235,5,4
236,5,4
237,5,5
238,5,5
239,5,5
240,5,5
241,5,5
242,5,4
243,5,5
244,5,5
245,5,5
246,5,5
247,5,4
248,5,5
249,5,5
250,5,5
251,5,4
252,5,5
253,5,5
254,5,5
255,5,5
256,5,5
257,5,5
258,5,5
259,5,4
260,5,5
261,5,5
262,5,4
263,5,5
264,5,5
265,5,4
266,5,5
267,5,5
